MES_REFERENCIA;GARANTIA_FISICA_SAZONALIZADA;FATOR_PERDAS_INTERNAS;FATOR_PERDAS_REDE_BASICA;FATOR_DISPONIBILIDADE;FATOR_REDUCAO_ACUMULADO;GARANTIA_FISICA_MODULADA_FATOR_DISP;GARANTIA_FISICA_LASTRO_USINA_MRE;GARANTIA_FISICA_LASTRO_USINA_FORA_MRE
202501;51410.4524279233;;;;;;42619.6997231184;57226.9321276882
202502;54924.606866278;;;;;;42385.0872455357;57331.7023913691
202503;57186.4242546244;;;;;;41388.4729314517;56781.4893521505
202504;50552.3534332071;;;;;;41814.0628666667;54908.0181763889
202505;45333.5242117128;;;;;;42388.4432043011;54837.9860537634
202506;47667.2982167653;;;;;;42513.4051527778;54724.1998875
202507;54534.1242658511;;;;;;41578.976858871;55679.7738561827
202508;56513.3891081981;;;;;;41554.3063360216;54476.8368010753
202509;58802.6869925542;;;;;;41370.7443944444;54196.6213875
202510;59642.870129995;;;;;;40450.8325658602;54432.5171317204
202511;62212.3030994138;;;;;;38992.7300416667;55117.0912291667
202512;64989.9553968861;;;;;;37169.0001048387;55551.6129879032
